,Bandwidth,AvgTime,Type,NumElements,Processes
0,18226.3,0.087969,Copy,100000000,1
1,17974.1,0.089129,Scale,100000000,1
2,20527.1,0.117194,Add,100000000,1
3,20356.6,0.118168,Triad,100000000,1
4,18961.8,0.084623,Copy,100000000,2
5,19119.3,0.084053,Scale,100000000,2
6,21779.8,0.110883,Add,100000000,2
7,21957.2,0.109697,Triad,100000000,2
8,18874.5,0.084967,Copy,100000000,3
9,18985.7,0.084543,Scale,100000000,3
10,21768.1,0.110591,Add,100000000,3
11,21746.9,0.110642,Triad,100000000,3
12,19278.2,0.083208,Copy,100000000,4
13,19273.0,0.083307,Scale,100000000,4
14,22221.5,0.108247,Add,100000000,4
15,22154.7,0.108594,Triad,100000000,4
16,18913.0,0.0086,Copy,10000000,1
17,18401.1,0.00874,Scale,10000000,1
18,21157.1,0.011527,Add,10000000,1
19,20951.0,0.011531,Triad,10000000,1
20,19665.6,0.008212,Copy,10000000,2
21,19230.0,0.008448,Scale,10000000,2
22,22215.6,0.010973,Add,10000000,2
23,22038.6,0.010978,Triad,10000000,2
24,19945.6,0.008089,Copy,10000000,3
25,19746.6,0.008212,Scale,10000000,3
26,22788.4,0.010688,Add,10000000,3
27,22545.0,0.010754,Triad,10000000,3
28,20080.5,0.00802,Copy,10000000,4
29,19728.6,0.008182,Scale,10000000,4
30,22953.7,0.010559,Add,10000000,4
31,22938.5,0.010583,Triad,10000000,4
32,24438.8,0.000699,Copy,1000000,1
33,22534.9,0.000757,Scale,1000000,1
34,26214.4,0.000977,Add,1000000,1
35,25877.5,0.000991,Triad,1000000,1
36,33404.1,0.000532,Copy,1000000,2
37,28913.8,0.000577,Scale,1000000,2
38,32800.0,0.000789,Add,1000000,2
39,32514.0,0.000759,Triad,1000000,2
40,34169.5,0.00052,Copy,1000000,3
41,29945.9,0.000559,Scale,1000000,3
42,32736.0,0.000808,Add,1000000,3
43,33927.6,0.000736,Triad,1000000,3
44,33042.3,0.000529,Copy,1000000,4
45,28691.3,0.000585,Scale,1000000,4
46,31174.8,0.000821,Add,1000000,4
47,32430.2,0.000768,Triad,1000000,4
48,18188.3,0.22029,Copy,250000000,1
49,17968.8,0.222861,Scale,250000000,1
50,20435.6,0.293839,Add,250000000,1
51,20294.5,0.296524,Triad,250000000,1
52,18749.2,0.213735,Copy,250000000,2
53,18865.1,0.212297,Scale,250000000,2
54,21507.2,0.279576,Add,250000000,2
55,21527.7,0.278936,Triad,250000000,2
56,18858.0,0.212674,Copy,250000000,3
57,18942.0,0.211791,Scale,250000000,3
58,21711.5,0.277042,Add,250000000,3
59,21720.4,0.277143,Triad,250000000,3
60,19183.6,0.208969,Copy,250000000,4
61,19231.6,0.208343,Scale,250000000,4
62,22162.4,0.271479,Add,250000000,4
