,Bandwidth,AvgTime,Type,NumElements,Processes
0,18219.7,0.088092,Copy,100000000,1
1,17978.7,0.089118,Scale,100000000,1
2,20479.8,0.117371,Add,100000000,1
3,20269.8,0.118549,Triad,100000000,1
4,18828.5,0.085184,Copy,100000000,2
5,18900.1,0.085199,Scale,100000000,2
6,21552.3,0.111599,Add,100000000,2
7,21561.0,0.111412,Triad,100000000,2
8,18911.6,0.084725,Copy,100000000,3
9,18944.7,0.084597,Scale,100000000,3
10,21751.1,0.110592,Add,100000000,3
11,21743.8,0.110576,Triad,100000000,3
12,19164.3,0.083842,Copy,100000000,4
13,19146.1,0.083764,Scale,100000000,4
14,22051.3,0.109049,Add,100000000,4
15,21996.1,0.109335,Triad,100000000,4
16,18864.6,0.008559,Copy,10000000,1
17,18404.6,0.008771,Scale,10000000,1
18,20940.5,0.011561,Add,10000000,1
19,20828.8,0.011693,Triad,10000000,1
20,19879.4,0.008134,Copy,10000000,2
21,19542.5,0.008294,Scale,10000000,2
22,22495.1,0.010791,Add,10000000,2
23,22417.4,0.010813,Triad,10000000,2
24,19827.7,0.008136,Copy,10000000,3
25,19426.5,0.008326,Scale,10000000,3
26,22522.3,0.010729,Add,10000000,3
27,22406.0,0.010794,Triad,10000000,3
28,19920.1,0.008092,Copy,10000000,4
29,19506.1,0.008243,Scale,10000000,4
30,22802.9,0.010621,Add,10000000,4
31,22577.8,0.010677,Triad,10000000,4
32,24096.5,0.000676,Copy,1000000,1
33,23663.2,0.00069,Scale,1000000,1
34,26434.7,0.000931,Add,1000000,1
35,27632.0,0.0009,Triad,1000000,1
36,32928.8,0.000512,Copy,1000000,2
37,30393.5,0.000572,Scale,1000000,2
38,34497.4,0.000756,Add,1000000,2
39,33487.5,0.00075,Triad,1000000,2
40,33172.9,0.000513,Copy,1000000,3
41,28814.5,0.000591,Scale,1000000,3
42,31705.0,0.000799,Add,1000000,3
43,32461.6,0.000778,Triad,1000000,3
44,32357.2,0.000535,Copy,1000000,4
45,28569.1,0.000575,Scale,1000000,4
46,31252.2,0.00086,Add,1000000,4
47,32587.7,0.000817,Triad,1000000,4
48,18134.9,0.222052,Copy,250000000,1
49,17917.4,0.224276,Scale,250000000,1
50,20412.4,0.295268,Add,250000000,1
51,20259.8,0.29771,Triad,250000000,1
52,18955.7,0.211346,Copy,250000000,2
53,19086.8,0.209792,Scale,250000000,2
54,21861.5,0.274983,Add,250000000,2
55,21763.8,0.276511,Triad,250000000,2
56,18919.4,0.212058,Copy,250000000,3
57,18960.3,0.211163,Scale,250000000,3
58,21727.3,0.276535,Add,250000000,3
59,21728.9,0.277021,Triad,250000000,3
60,19204.9,0.209781,Copy,250000000,4
61,19250.1,0.208999,Scale,250000000,4
62,22152.8,0.272188,Add,250000000,4
63,22117.3,0.27288,Triad,250000000,4
64,18429.4,0.021808,Copy,25000000,1
65,18124.4,0.022203,Scale,25000000,1
66,20565.5,0.029406,Add,25000000,1
67,20438.6,0.02958,Triad,25000000,1
68,19063.3,0.021072,Copy,25000000,2
69,19200.1,0.021069,Scale,25000000,2
70,21920.7,0.027817,Add,25000000,2
71,21953.4,0.027737,Triad,25000000,2
72,19146.0,0.021066,Copy,25000000,3
73,19084.5,0.021089,Scale,25000000,3
74,21919.9,0.027481,Add,25000000,3
75,21882.0,0.027588,Triad,25000000,3
76,19361.6,0.020774,Copy,25000000,4
77,19264.7,0.020924,Scale,25000000,4
78,22315.1,0.027271,Add,25000000,4
79,22102.8,0.02738,Triad,25000000,4
80,21676.0,0.001523,Copy,2000000,1
81,20296.0,0.001599,Scale,2000000,1
82,23508.5,0.002099,Add,2000000,1
83,23671.6,0.002088,Triad,2000000,1
84,24786.3,0.001329,Copy,2000000,2
85,23073.4,0.001451,Scale,2000000,2
86,27613.0,0.00183,Add,2000000,2
87,27643.4,0.001846,Triad,2000000,2
88,25468.3,0.001334,Copy,2000000,3
89,22714.1,0.001463,Scale,2000000,3
90,26588.3,0.001857,Add,2000000,3
91,26980.2,0.00186,Triad,2000000,3
92,24947.5,0.001365,Copy,2000000,4
93,22868.9,0.001506,Scale,2000000,4
94,27541.3,0.001816,Add,2000000,4
95,26962.2,0.001885,Triad,2000000,4
96,18131.5,0.444983,Copy,500000000,1
97,17918.3,0.45048,Scale,500000000,1
98,20437.6,0.592283,Add,500000000,1
99,20225.9,0.597099,Triad,500000000,1
100,18722.3,0.428394,Copy,500000000,2
101,18871.7,0.424405,Scale,500000000,2
102,21470.1,0.559958,Add,500000000,2
103,21569.6,0.556929,Triad,500000000,2
104,18825.3,0.425603,Copy,500000000,3
105,18912.7,0.423664,Scale,500000000,3
106,21667.2,0.554789,Add,500000000,3
107,21665.8,0.55514,Triad,500000000,3
108,19031.0,0.420879,Copy,500000000,4
109,19083.5,0.419487,Scale,500000000,4
110,21934.7,0.547733,Add,500000000,4
111,21916.4,0.547966,Triad,500000000,4
112,18263.3,0.044109,Copy,50000000,1
113,17978.9,0.044595,Scale,50000000,1
114,20568.7,0.058492,Add,50000000,1
115,20327.6,0.059286,Triad,50000000,1
116,18942.3,0.042425,Copy,50000000,2
117,18952.6,0.042525,Scale,50000000,2
118,21646.3,0.05576,Add,50000000,2
119,21667.9,0.055815,Triad,50000000,2
120,18982.5,0.042261,Copy,50000000,3
121,18973.8,0.042323,Scale,50000000,3
122,21793.4,0.055226,Add,50000000,3
123,21727.4,0.055406,Triad,50000000,3
124,19217.7,0.041792,Copy,50000000,4
125,19113.3,0.041953,Scale,50000000,4
126,22126.8,0.054388,Add,50000000,4
127,22019.2,0.054665,Triad,50000000,4
128,19471.0,0.004154,Copy,5000000,1
129,19070.4,0.004252,Scale,5000000,1
130,21709.6,0.005573,Add,5000000,1
131,21454.2,0.005631,Triad,5000000,1
132,20933.6,0.003918,Copy,5000000,2
133,20028.9,0.00405,Scale,5000000,2
134,23265.1,0.005269,Add,5000000,2
135,22940.6,0.005374,Triad,5000000,2
136,20902.3,0.003896,Copy,5000000,3
