,Bandwidth,AvgTime,Type,NumElements,Processes
0,18240.7,0.087872,Copy,100000000,1
1,18019.6,0.088997,Scale,100000000,1
2,20544.6,0.117051,Add,100000000,1
3,20356.6,0.118132,Triad,100000000,1
4,18770.8,0.085488,Copy,100000000,2
5,18928.5,0.084813,Scale,100000000,2
6,21528.0,0.111983,Add,100000000,2
7,21647.6,0.111228,Triad,100000000,2
8,18875.2,0.084927,Copy,100000000,3
9,18975.6,0.08445,Scale,100000000,3
10,21749.8,0.110768,Add,100000000,3
11,21752.2,0.110675,Triad,100000000,3
12,19143.7,0.083683,Copy,100000000,4
13,19143.7,0.083754,Scale,100000000,4
14,22094.8,0.108851,Add,100000000,4
15,22011.9,0.109246,Triad,100000000,4
16,18965.3,0.008621,Copy,10000000,1
17,18486.8,0.008738,Scale,10000000,1
18,21091.5,0.011554,Add,10000000,1
19,20911.0,0.011553,Triad,10000000,1
20,19890.0,0.008157,Copy,10000000,2
21,19624.2,0.008395,Scale,10000000,2
22,22592.0,0.010821,Add,10000000,2
23,22360.2,0.010846,Triad,10000000,2
24,19810.1,0.008216,Copy,10000000,3
25,19423.7,0.00828,Scale,10000000,3
26,22557.1,0.010778,Add,10000000,3
27,22433.9,0.010849,Triad,10000000,3
28,19890.0,0.008129,Copy,10000000,4
29,19494.8,0.008298,Scale,10000000,4
30,22620.5,0.010712,Add,10000000,4
31,22507.2,0.010834,Triad,10000000,4
32,24218.3,0.000694,Copy,1000000,1
33,23391.0,0.000724,Scale,1000000,1
34,26644.6,0.000954,Add,1000000,1
35,27533.7,0.000914,Triad,1000000,1
36,33288.1,0.000515,Copy,1000000,2
37,29576.4,0.000576,Scale,1000000,2
38,34699.5,0.000754,Add,1000000,2
39,33962.0,0.000736,Triad,1000000,2
40,33996.4,0.000514,Copy,1000000,3
41,29628.6,0.000597,Scale,1000000,3
42,31575.7,0.000777,Add,1000000,3
43,34181.1,0.000786,Triad,1000000,3
44,32945.0,0.000504,Copy,1000000,4
45,29472.5,0.000598,Scale,1000000,4
46,32939.6,0.000774,Add,1000000,4
47,33632.9,0.000776,Triad,1000000,4
48,18178.6,0.220373,Copy,250000000,1
49,17963.2,0.222836,Scale,250000000,1
50,20478.9,0.293703,Add,250000000,1
51,20319.5,0.295539,Triad,250000000,1
52,18769.0,0.213561,Copy,250000000,2
53,18902.1,0.212185,Scale,250000000,2
54,21475.1,0.280013,Add,250000000,2
55,21615.3,0.278166,Triad,250000000,2
56,18852.7,0.212402,Copy,250000000,3
57,18929.4,0.211514,Scale,250000000,3
58,21690.0,0.277156,Add,250000000,3
59,21724.1,0.276667,Triad,250000000,3
60,19085.3,0.209831,Copy,250000000,4
61,19140.6,0.209168,Scale,250000000,4
62,22036.0,0.272812,Add,250000000,4
63,21982.3,0.273281,Triad,250000000,4
64,18406.8,0.021835,Copy,25000000,1
65,18165.2,0.022384,Scale,25000000,1
66,20688.1,0.02926,Add,25000000,1
67,20518.9,0.029332,Triad,25000000,1
68,19100.6,0.021106,Copy,25000000,2
69,19088.2,0.021093,Scale,25000000,2
70,21848.4,0.027772,Add,25000000,2
71,21740.6,0.027695,Triad,25000000,2
72,19377.7,0.020871,Copy,25000000,3
73,19209.1,0.020895,Scale,25000000,3
74,22067.5,0.02731,Add,25000000,3
75,22097.8,0.027246,Triad,25000000,3
76,19606.0,0.020611,Copy,25000000,4
77,19402.1,0.020786,Scale,25000000,4
78,22525.4,0.026797,Add,25000000,4
79,22417.0,0.026875,Triad,25000000,4
80,21163.3,0.001532,Copy,2000000,1
81,20222.6,0.00162,Scale,2000000,1
82,23461.9,0.002096,Add,2000000,1
83,23264.0,0.002085,Triad,2000000,1
84,25448.9,0.001327,Copy,2000000,2
85,23277.4,0.001441,Scale,2000000,2
86,26944.1,0.001841,Add,2000000,2
87,26872.2,0.001827,Triad,2000000,2
88,25386.4,0.00132,Copy,2000000,3
